Galaxy 	 RA 	 Dec 	 n 	 [CII]Lum 	 [CII]Lerr 	 [NII]Lum 	 [NII]Lerr 	 fneut 	 fneut_err 	 LTIR 	 TIRerr 	 70160 	 70160_err 	 area 	 cosi 	 SFR 	 SFRerr 	 [OI]Lum 	 [OI]Lerr	 log10(G0) 	 err_log10(G0) 	 log10(n) 	 errlog10(n) 
ngc0628e00	24.1883	15.7969	27.4157360326	4.9140300000000005e+39	4.918350176949999e+38	5.2292e+38	1.58665963182e+38	0.62247866772	0.07508322585060001	1.337407832e+42	3.71970093395e+40	1.66705872197	0.118658393829	1.53117129006	0.910412868924	0.0759966	0.0027826560346100003	2.07107e+39	4.1192e+37	2.5	0.39543342987400004	3.13021315	0.19636865095400002
ngc2798nuc	139.345	42.0	77.0894606472	4.0559000000000004e+41	4.0566057951599996e+40	2.35769e+40	7.09211554168e+39	0.7998799285879999	0.0507427872273	2.779856199e+44	8.16172825688e+42	3.3642980803299998	0.239196781666	19.6606646898	0.360127465313	13.63904324	0.5414898798860001	2.24121e+41	4.16082e+38	1.80383924	0.760137100927	3.43007307	0.346845109551
ngc2976e00	146.78	67.9322	61.5171467283	4.25369e+39	4.25401646138e+38	1.06237e+38	3.21828030082e+37	0.913707539548	0.025153079814499997	1.0482227310000001e+42	3.05790616814e+40	1.99497854063	0.141256080044	0.372233529766	0.419385711488	0.0437183862	0.0016230342085299999	1.17291e+39	8.24135e+36	0.65909326	0.622632100299	3.58806671	0.365477794914
ngc3049nuc	148.707	9.27167	114.550221515	6.0399e+40	6.0439038685e+39	2.4438900000000002e+39	7.66326114748e+38	0.8574840920029999	0.0402235562346	2.0872406640000002e+43	5.860597360569999e+41	2.71236068848	0.19297534719599999	10.8883291738	0.643008067601	1.30263536	0.0470072463634	2.4228800000000004e+40	2.7288900000000002e+38	2.37897137	0.53577518023	3.0	0.243428465147
ngc3351nuc	160.991	11.7036	241.544881568	4.43402e+40	4.43442104493e+39	3.37727e+39	1.0142073231600001e+39	0.718263296332	0.0640511303075	2.5985071810000002e+43	7.54896634249e+41	2.24409537529	0.158959234091	2.57111837407	0.659052349969	1.11519226	0.0426685020162	1.8381400000000001e+40	5.97372e+37	1.22368542	0.8826684182960001	3.58253523	0.475144830758
ngc3521nuc	166.453	-0.03472	31.476989083499998	3.9489000000000003e+40	3.94960672185e+39	2.7351800000000003e+39	8.25652697383e+38	0.761663413243	0.0577276932207	1.1391161714e+43	3.63451396844e+41	1.1377800574799999	0.080487332152	3.70505645497	0.43183716066699995	0.263552768	0.010151594681299999	6.4831e+39	1.17398e+38	2.0	0.21690722264899998	2.34828671	0.229557469396
ngc3627e02	170.06900000000002	12.9783	101.390077265	7.645980000000001e+40	7.64639258756e+39	5.2520800000000005e+39	1.57673844871e+39	0.762807947306	0.0572524486867	2.4532071680000004e+43	7.12451213783e+41	2.06953507279	0.146676058119	2.59874975412	0.44186955437299996	1.00231539	0.0394108040663	2.21784e+40	6.66176e+37	1.11670417	0.606239106101	3.3796087999999997	0.31789772926300003
ngc4254nuc	184.706	14.4153	43.350579438900006	1.031e+41	1.03105867816e+40	8.44883e+39	2.53970564976e+39	0.7179026523250001	0.0641573153789	2.723281047e+43	8.498529909409998e+41	1.41506239405	0.10009513605900001	6.12468516026	0.865207706276	0.687905344	0.026051231628200004	2.14808e+40	1.55424e+38	0.98326925	0.6029648380899999	3.4537392999999996	0.35672123621299995
ngc4321nuc	185.729	15.8219	62.5160518549	1.06513e+41	1.06520598673e+40	1.2478400000000002e+40	3.74647387158e+39	0.596441142765	0.0761703398521	4.2773208640000003e+43	1.30472820856e+42	1.6766802697799998	0.11863550304199999	6.03991545342	0.844221164743	1.3367554	0.0481595231878	3.0512500000000004e+40	1.32205e+38	2.64023227	0.420146960408	2.75	0.256990103433
ngc4536nuc	188.613	2.1886099999999997	623.7341936619999	3.0044900000000003e+41	3.0049324256e+40	3.8525400000000003e+39	1.16183161838e+39	0.9432672886200001	0.017002900305000002	1.0901357750000002e+44	3.24197300407e+42	3.0884288053099995	0.218690966437	6.21004559676	0.385044640269	4.612524006	0.183769725522	1.48655e+41	1.99137e+38	2.36561755	0.312177609533	3.0	0.140414716287
