Wavelength  Flux
#[Angstrom]  [Flux per Angstrom]
3537.47         18.34936
3538.47         21.29578
3539.47         23.99459
3540.47         24.33915
3541.47         27.18333
3542.47         35.83587
3543.47         47.85939
3544.47         58.39506
3545.47         59.30299
3546.47         48.64113
3547.47         34.86918
3548.47         24.72326
3549.47         19.61395
3550.47         20.47488
3551.47         22.80189
3552.47         22.25937
3553.47         21.15413
3554.47         22.25961
3555.47         22.14246
3556.47         15.30798
3557.47         9.711481
3558.47         16.52986
3559.47         28.66411
3560.47         35.87268
3561.47         38.79131
3562.47         37.96436
3563.47          35.2647
3564.47         32.40037
3565.47         26.88343
3566.47         18.23883
3567.47         9.217154
3568.47         4.243761
3569.47         8.396659
3570.47         20.70019
3571.47         33.58061
3572.47         41.93848
3573.47         41.82796
3574.47         38.79906
3575.47         40.53932
3576.47         43.62491
3577.47         42.97818
3578.47         39.28339
3579.47         36.25058
3580.47         34.34591
3581.47         29.68944
3582.47         22.37353
3583.47         18.81309
3584.47         20.26507
3585.47         22.13851
3586.47         24.47768
3587.47         26.63404
3588.47          30.7173
3589.47         40.10839
3590.47         46.70049
3591.47         46.62239
3592.47         45.42445
3593.47         41.84894
3594.47         32.32448
3595.47         25.99642
3596.47         29.47484
3597.47         32.78941
3598.47         31.02904
3599.47         29.58558
3600.47         34.47729
3601.47         46.32745
3602.47         52.18895
3603.47         45.82732
3604.47         38.66266
3605.47         39.22284
3606.47         39.28496
3607.47         30.69198
3608.47         18.46171
3609.47         11.05922
3610.47         13.75808
3611.47         24.93513
3612.47         34.57826
3613.47         37.16397
3614.47         36.38105
3615.47           30.132
3616.47         23.31885
3617.47         26.96208
3618.47         31.55712
3619.47         30.85115
3620.47         31.25708
3621.47          31.2707
3622.47         29.81052
3623.47          29.9368
3624.47         28.77507
3625.47          24.6891
3626.47         23.54229
3627.47         25.65375
3628.47         25.39956
3629.47         24.67371
3630.47         28.85635
3631.47         38.19915
3632.47         47.03198
3633.47         46.11176
3634.47         37.58032
3635.47         32.06811
3636.47         28.96876
3637.47         24.83588
3638.47         26.17768
3639.47         33.83974
3640.47         39.08835
3641.47         36.39483
3642.47         28.37012
3643.47         23.42587
3644.47           21.603
3645.47         20.37436
3646.47         25.04851
3647.47         28.92157
3648.47         21.60781
3649.47         13.67378
3650.47          16.6918
3651.47         23.30538
3652.47         24.95782
3653.47         25.47384
3654.47         29.86777
3655.47         39.76862
3656.47           50.147
3657.47         53.24321
3658.47         48.35006
3659.47         39.85866
3660.47         33.24376
3661.47          34.1467
3662.47          43.0573
3663.47          48.6924
3664.47         42.79269
3665.47         32.53047
3666.47         26.21383
3667.47         26.35555
3668.47         30.68702
3669.47         29.81897
3670.47          24.7313
3671.47         25.18379
3672.47         27.93529
3673.47         26.58235
3674.47         24.11447
3675.47         24.65068
3676.47         27.44742
3677.47         29.80388
3678.47         30.54494
3679.47         28.04239
3680.47         20.85598
3681.47         11.06454
3682.47          6.63919
3683.47         12.70987
3684.47         22.20554
3685.47         26.54103
3686.47         25.91696
3687.47         25.29654
3688.47         28.17851
3689.47          33.9071
3690.47         38.36774
3691.47          34.1167
3692.47         26.12702
3693.47         27.43253
3694.47         34.67678
3695.47         36.54803
3696.47         33.35253
3697.47         33.41342
3698.47         35.66747
3699.47         35.88954
3700.47         35.93116
3701.47           34.177
3702.47         28.31282
3703.47         21.77994
3704.47         19.25573
3705.47         19.97681
3706.47         20.17453
3707.47         17.82767
3708.47         16.74105
3709.47         20.90952
3710.47         28.83424
3711.47         33.02613
3712.47         30.74945
3713.47         28.87915
3714.47         28.30604
3715.47         29.84506
3716.47          33.0043
3717.47         30.58848
3718.47          26.9537
3719.47         30.11392
3720.47         37.18911
3721.47         44.09863
3722.47         48.21205
3723.47          50.9585
3724.47         54.84529
3725.47         58.88936
3726.47         62.23722
3727.47         61.96688
3728.47         57.34594
3729.47          50.1487
3730.47         40.57688
3731.47         33.37954
3732.47         30.56241
3733.47         27.86548
3734.47         27.08266
3735.47         29.23789
3736.47         29.25422
3737.47         27.11332
3738.47          28.3805
3739.47          34.9409
3740.47         40.99683
3741.47         37.84031
3742.47         29.27512
3743.47         25.16674
3744.47         23.68768
3745.47         22.57643
3746.47         22.26598
3747.47         21.27819
3748.47         22.97055
3749.47          28.1368
3750.47         31.75307
3751.47         31.48552
3752.47         29.32085
3753.47         26.54014
3754.47         23.85085
3755.47         24.91216
3756.47         30.08008
3757.47         35.35396
3758.47         39.42591
3759.47         44.57587
3760.47         48.57932
3761.47         46.72746
3762.47         40.04133
3763.47         33.29385
3764.47          30.2986
3765.47         31.09643
3766.47         33.03921
3767.47         31.98039
3768.47         25.15869
3769.47         22.08342
3770.47         29.62194
3771.47         36.96368
3772.47          40.4825
3773.47         44.42555
3774.47         44.37378
3775.47         39.27303
3776.47         36.66045
3777.47         38.11262
3778.47         38.63705
3779.47         42.38585
3780.47         51.57662
3781.47         55.94865
3782.47         51.90594
3783.47         46.04045
3784.47         42.40099
3785.47         41.58754
3786.47          41.7964
3787.47         40.44424
3788.47         38.35178
3789.47         36.90765
3790.47         36.30536
3791.47         37.37564
3792.47         37.54362
3793.47         34.69525
3794.47         32.58579
3795.47         31.60601
3796.47         28.63222
3797.47         24.65918
3798.47         23.21708
3799.47         25.35029
3800.47         28.49385
3801.47         30.13505
3802.47         30.06484
3803.47         28.25083
3804.47         27.80346
3805.47         32.46885
3806.47         38.27264
3807.47         41.06488
3808.47         43.15332
3809.47         48.19033
3810.47         56.54057
3811.47         60.58588
3812.47          55.1325
3813.47         46.87902
3814.47         41.90312
3815.47         39.34682
3816.47         40.23275
3817.47          44.9786
3818.47         47.20272
3819.47         43.74187
3820.47         40.72944
3821.47          42.0544
3822.47         43.70805
3823.47         42.44774
3824.47         39.27746
3825.47         36.47783
3826.47         33.98227
3827.47         31.69652
3828.47         33.10032
3829.47         37.81234
3830.47         39.80587
3831.47         37.06689
3832.47         30.86663
3833.47         25.85425
3834.47         25.94658
3835.47         26.80232
3836.47         27.07827
3837.47         30.30488
3838.47         35.48301
3839.47         42.45337
3840.47         50.54902
3841.47         54.41463
3842.47         53.34188
3843.47         53.59393
3844.47         57.68334
3845.47         60.32562
3846.47         57.77307
3847.47         54.00958
3848.47         53.10781
3849.47         54.61681
3850.47         54.97649
3851.47         50.65305
3852.47         47.46475
3853.47         53.70968
3854.47         61.18872
3855.47         60.48222
3856.47         58.81394
3857.47         60.41728
3858.47         60.66083
3859.47         58.00409
3860.47         54.72247
3861.47         53.05428
3862.47         52.76736
3863.47         54.38588
3864.47         57.53582
3865.47         57.28116
3866.47         49.87615
3867.47         40.51764
3868.47         38.80965
3869.47         43.93148
3870.47         46.25641
3871.47         43.74577
3872.47         40.87044
3873.47         39.00351
3874.47         39.49557
3875.47         43.89665
3876.47         48.35863
3877.47         46.26559
3878.47         38.87837
3879.47         34.83434
3880.47         36.34142
3881.47         36.50322
3882.47         33.38463
3883.47         30.32633
3884.47         29.08521
3885.47         31.51544
3886.47         34.43899
3887.47         32.16976
3888.47          28.4672
3889.47         28.64399
3890.47         30.48249
3891.47         31.90385
3892.47         35.44584
3893.47         40.67013
3894.47         44.74342
3895.47         46.17224
3896.47         46.22399
3897.47          48.0773
3898.47          49.1734
3899.47         48.40182
3900.47           51.189
3901.47         57.01533
3902.47         57.30939
3903.47         50.94203
3904.47         46.82911
3905.47          50.1054
3906.47         55.08577
3907.47         57.73395
3908.47          61.3529
3909.47         61.98486
3910.47         58.45753
3911.47         63.18243
3912.47         75.72665
3913.47         78.89495
3914.47         69.39639
3915.47         61.80183
3916.47         64.69857
3917.47         67.70988
3918.47         60.42793
3919.47         50.03032
3920.47         44.32211
3921.47         42.93075
3922.47         46.28193
3923.47         52.52843
3924.47         57.36533
3925.47         58.52843
3926.47         54.64363
3927.47         48.15618
3928.47         43.67108
3929.47         41.99713
3930.47         40.58575
3931.47         36.71859
3932.47         32.43359
3933.47         32.25835
3934.47         38.36025
3935.47         48.29919
3936.47         55.71995
3937.47         56.22696
3938.47         52.24208
3939.47         50.20377
3940.47         51.73336
3941.47         55.88213
3942.47         61.94838
3943.47         64.43934
3944.47         61.00771
3945.47         57.82939
3946.47         60.44045
3947.47         66.00352
3948.47         69.34587
3949.47          69.4213
3950.47          67.8271
3951.47         66.12481
3952.47         62.96847
3953.47         57.19307
3954.47          52.9091
3955.47         51.79586
3956.47         50.65281
3957.47         50.53688
3958.47         53.36272
3959.47         54.67543
3960.47         48.99994
3961.47         39.89011
3962.47          32.4622
3963.47         25.56733
3964.47         18.04853
3965.47         10.48824
3966.47         6.318705
3967.47         8.945014
3968.47         15.46829
3969.47         21.33164
3970.47         28.11677
3971.47         37.72423
3972.47         47.41397
3973.47         50.59009
3974.47         47.72909
3975.47         46.30116
3976.47         47.95565
3977.47         51.66697
3978.47         55.06387
3979.47         56.16705
3980.47         57.62257
3981.47         60.79009
3982.47         62.68696
3983.47         61.65973
3984.47         60.62104
3985.47         61.29534
3986.47         61.23067
3987.47         60.16219
3988.47         61.02404
3989.47         61.99864
3990.47         61.38062
3991.47         63.85002
3992.47           70.858
3993.47         74.07316
3994.47         69.60698
3995.47         63.74546
3996.47          59.9625
3997.47         57.97346
3998.47         57.63372
3999.47         56.59447
4000.47         58.57392
4001.47         67.70483
4002.47         74.37975
4003.47         71.84602
4004.47         65.88832
4005.47         61.26097
4006.47         58.64449
4007.47         58.43855
4008.47         60.41183
4009.47         62.26971
4010.47         61.86201
4011.47         58.01962
4012.47         53.59324
4013.47         57.08781
4014.47         67.90451
4015.47           71.914
4016.47         67.59184
4017.47         70.03433
4018.47          77.3639
4019.47         77.67224
4020.47         75.77453
4021.47         78.97688
4022.47         82.86755
4023.47         81.85684
4024.47         75.99548
4025.47         69.99538
4026.47         69.48103
4027.47         72.92715
4028.47         72.02724
4029.47         66.92475
4030.47         62.91142
4031.47         59.78793
4032.47         58.68695
4033.47         64.83119
4034.47         72.55808
4035.47         71.45496
4036.47          66.4032
4037.47         64.91815
4038.47         66.60283
4039.47         70.35571
4040.47         74.24065
4041.47         74.45202
4042.47         69.72874
4043.47         63.66331
4044.47         61.32979
4045.47         61.07161
4046.47         59.30575
4047.47         60.26591
4048.47         67.64229
4049.47         74.50729
4050.47         74.30429
4051.47         71.43029
4052.47         71.68222
4053.47          72.5455
4054.47         70.81843
4055.47         69.00632
4056.47         67.05245
4057.47         65.47527
4058.47         68.50272
4059.47         73.67085
4060.47         74.94161
4061.47          72.0878
4062.47         67.98522
4063.47         65.09425
4064.47         63.73919
4065.47         62.79243
4066.47         62.60806
4067.47         63.47947
4068.47         65.85135
4069.47         67.28444
4070.47         66.03957
4071.47         64.84881
4072.47         64.31425
4073.47         63.59256
4074.47         64.64671
4075.47         66.60207
4076.47         66.22744
4077.47         64.09151
4078.47         63.04337
4079.47         63.81863
4080.47         65.68275
4081.47         67.07339
4082.47         66.32516
4083.47         64.59737
4084.47          63.2912
4085.47         62.54317
4086.47         61.22396
4087.47         58.00919
4088.47         54.92155
4089.47         53.80865
4090.47         54.58569
4091.47         55.05783
4092.47         54.33553
4093.47          54.7074
4094.47         55.85313
4095.47         54.46267
4096.47         49.42722
4097.47         45.50146
4098.47          47.2916
4099.47         52.01531
4100.47         53.27411
4101.47         49.65194
4102.47         44.93144
4103.47         42.52506
4104.47         44.60566
4105.47         48.03965
4106.47         49.33276
4107.47         52.87793
4108.47         60.40446
4109.47         66.54324
4110.47         69.28514
4111.47          68.9874
4112.47          64.7001
4113.47         60.27271
4114.47         60.66335
4115.47         64.46114
4116.47         67.39449
4117.47         68.85666
4118.47         70.33729
4119.47         69.59117
4120.47         65.65666
4121.47         62.20187
4122.47         61.35741
4123.47         63.44975
4124.47         67.39523
4125.47          70.5672
4126.47         71.13309
4127.47         68.33044
4128.47         64.01662
4129.47         61.31546
4130.47         61.35603
4131.47         64.17759
4132.47         68.46176
4133.47         72.35671
4134.47         73.89608
4135.47         72.30199
4136.47         71.57477
4137.47         72.06028
4138.47         69.92239
4139.47         67.87808
4140.47         67.92999
4141.47         68.31512
4142.47         70.35062
4143.47          72.5069
4144.47         71.07348
4145.47         69.35262
4146.47         70.13274
4147.47          68.4882
4148.47         64.71004
4149.47         63.51207
4150.47         65.03573
4151.47         67.06576
4152.47         66.83205
4153.47         63.67497
4154.47          60.8313
4155.47         60.34445
4156.47         61.00564
4157.47         61.64402
4158.47         62.36426
4159.47         63.46213
4160.47         66.62381
4161.47         72.96504
4162.47         77.19489
4163.47         77.30747
4164.47         77.41753
4165.47         74.78074
4166.47          68.3778
4167.47         64.04221
4168.47         63.03602
4169.47         63.78645
4170.47         66.09538
4171.47          69.8355
4172.47         73.98004
4173.47         74.92866
4174.47         71.31638
4175.47         67.23244
4176.47         65.86675
4177.47         65.93491
4178.47         66.41769
4179.47         67.06708
4180.47         65.39488
4181.47         62.10419
4182.47         61.62559
4183.47         63.97707
4184.47         66.22604
4185.47         65.95618
4186.47          63.6055
4187.47         62.31693
4188.47         63.95341
4189.47         66.86599
