n Name                         RA            Dec           Mag_g   SDSS-DR6gerr   f_SDSS-DR6g   f_SDSS-DR6gerr   Mag_i   SDSS-DR6ierr   f_SDSS-DR6i   f_SDSS-DR6ierr   d_mod  Dist.Mod.err 
2  Haro2                         10h32m32.00s +54d24m02.0s       15.328        0.021     2.68E-29     5.19E-31       14.957        0.027     3.78E-29     9.39E-31       32.67        1.19      
3  Haro3                         10h45m22.41s +55d57m37.4s       16.625        0.020     8.13E-30     1.50E-31       16.504        0.025     9.09E-30     2.09E-31       31.38        0.17       
7  HS0822+3542                   08h25m55.52s +35d32m32.0s       18.455        0.021     1.51E-30     2.91E-32       19.657        0.026     4.98E-31     1.19E-32       29.91	     0.15                                         
8  HS1222+3741                   12h24m36.72s +37d24m36.6s       18.156        0.023     1.98E-30     4.20E-32       18.786        0.019     1.11E-30     1.94E-32       36.13	     0.15                                          
9  HS1236+3937                   12h39m20.18s +39d21m04.5s       19.655        0.026     4.99E-31     1.19E-32       20.549        0.041     2.19E-31     8.28E-33       34.41	     0.15                                          
10 HS1304+3529                   13h06m24.19s +35d13m43.0s       18.067        0.021     2.15E-30     4.17E-32       18.997        0.020     9.15E-31     1.68E-32       34.17	     0.15                                         
11 HS1319+3224                   13h21m19.71s +32d08m25.1s       19.287        0.016     7.00E-31     1.03E-32       19.555        0.036     5.47E-31     1.81E-32       34.38	     0.15                                         
14 HS1442+4250                   14h44m12.81s +42d37m44.0s       20.050        0.076     3.47E-31     2.43E-32       20.427        0.048     2.45E-31     1.08E-32       30.10	     0.15                                         
29 Mrk153                        10h49m05.03s +52d20m07.8s       16.612        0.034     8.23E-30     2.58E-31       16.838        0.024     6.68E-30     1.48E-31       32.80        0.15                      
30 Mrk209                        12h26m15.92s +48d29m36.6s       17.717        0.163     2.97E-30     4.46E-31       19.535        0.343     5.57E-31     1.76E-31       28.69        0.19        
33 Mrk1450                       11h38m35.68s +57d52m27.0s       16.106        0.047     1.31E-29     5.68E-31       16.847        0.025     6.63E-30     1.53E-31       30.90        0.15                                  
40 NGC4449                       12h28m11.10s +44d05m37.1s       14.869        0.020     4.10E-29     7.55E-31       14.479        0.021     5.87E-29     1.13E-30       27.91        0.38        
47 SBS1211+540                   12h14m02.48s +53d45m17.4s       18.475        0.025     1.48E-30     3.41E-32       19.464        0.028     5.95E-31     1.53E-32       30.85	     0.15                                          
48 SBS1249+493                   12h51m52.50s +49d03m27.7s       18.448        0.024     1.52E-30     3.35E-32       19.221        0.030     7.44E-31     2.06E-32       35.08        0.15                                  
49 SBS1415+437                   14h17m01.41s +43d30m05.5s       18.236        0.052     1.84E-30     8.83E-32       19.724        0.112     4.68E-31     4.83E-32       30.68        0.02       
55 UM311                         01h15m34.40s -00d51m46.1s       18.367        0.018     1.63E-30     2.71E-32       18.775        0.019     1.12E-30     1.96E-32       31.80	     0.15                                         
56 UM448                         11h42m12.38s +00d20m02.5s       17.181        0.095     4.87E-30     4.26E-31       17.636        0.269     3.20E-30     7.94E-31       34.55	     0.15                                         
57 UM461                         11h51m33.35s -02d22m21.9s       16.839        0.020     6.67E-30     1.23E-31       18.307        0.021     1.73E-30     3.34E-32       31.42        0.15                                  
