# 	 objtagS	objcount	            identifier             	typ	  RA		De     			Mag_g 	Mag_i 	d_mod
1  	d         	        1	NGC23                             	G  	002.472546 +25.923739              	12.821	11.704	 33.49
3  	cd        	        1	MCG-02-01-051                      	EmG	004.712075 -10.376803              	18.092	16.524	 35.23
7  	d         	        1	UGC593                            	GiG	014.4127775879091 +43.8008061241110	14.426	13.012	 34.43
8  	d         	        1	UGC594                            	GiP	014.41846200 +43.79217600          	14.297	12.960	 34.54
13 	d         	        1	MCG+02-04-025                      	LIN	020.011058 +14.361592              	15.083	14.143	 34.18
16 	d         	        1	IRAS01364-1042                    	LIN	024.720375 -10.453153              	16.752	15.700	 36.47
21 	d         	        1	NGC838                            	LIN	032.410677 -10.146145              	13.481	12.621	 33.55
28 	d         	        1	NG958                            	EmG	037.678496 -02.939003              	13.158	11.709	 33.83
30 	d         	        1	M77                               	GiP	040.669879 -00.013289              	10.087	 9.254	 30.05
36 	d         	        1	3C84                              	Sy2	049.9506656698585 +41.5116983765094	12.705	11.770	 34.19
48 	dX       	        1	NG1614                           	AGN	068.500112 -08.579047              	14.351	12.730	 34.06
82 	dX       	        1	NG2623                           	LIN	129.600066 +25.754524              	14.517	13.406	 34.54
89 	d         	        1	NAMEIRASF08572+3915NW           	LIN	135.105683 +39.065064              	17.424	16.546	 36.94
93 	d         	        1	UG5101                           	Sy1	143.965392 +61.352922              	15.288	14.088	 36.18
94 	d         	        1	Z239-11                           	GiP	144.128564 +48.469572              	15.425	14.720	 35.24
95 	d         	        1	MCG+08-18-013                      	GiP	144.154952 +48.474406              	15.006	13.880	 35.22
105	d         	        1	2XMJ105918.1+243234              	LIN	164.825534 +24.542982              	15.677	14.354	 36.24
109	d         	        1	I2810                            	AGN	171.437729 +14.676661              	14.749	13.577	 35.92
121	d         	        1	LEDA39024                         	LIN	183.442114 +02.811527              	16.971	15.913	 37.41
123	d         	        1	NG4194                           	AGN	183.540063 +54.526646              	13.728	13.146	 32.78
127	d         	        1	NG4355                           	Sy2	186.727617 -00.877642              	13.433	12.237	 32.31
129	dX       	        1	Mr231                            	Sy1	194.0593087455582 +56.8736773764425	14.539	12.985	 36.27
130	d         	        1	NG4922                           	SyG	195.3552751210736 +29.3138553177969	14.808	13.546	 35.15
135	d         	        1	I860                             	LIN	198.76462 +24.61883                	14.071	13.026	 33.68
137	d         	        1	UG8335E                         	AGN	198.896088 +62.124658              	15.084	14.302	 35.69
138	d         	        1	I883                             	SBG	200.147417 +34.139400              	14.462	13.550	 35.10
139	d         	        1	NG5104                           	rG 	200.346312 +00.342606              	14.091	12.687	 34.40
146	d         	        1	NG5258                           	GiP	204.990312 +00.830969              	14.170	12.969	 35.10
148	dX       	        1	Mr273                            	Sy2	206.175292 +55.886992              	14.878	13.822	 36.06
149	d         	        1	UG8739                           	GiG	207.307967 +35.257511              	20.416	20.029	 34.38
157	d         	        1	Mr1490                           	AGN	214.9301314718655 +49.2366468260986	15.359	14.117	 34.39
163	d         	        1	UG9618S                        	GiP	224.2513395855447 +24.6067087845539	14.495	13.606	 35.88
166	d         	        1	Z49-57                            	GiC	228.3045 +07.2255                  	15.365	13.927	 33.73
167	dX       	        1	NAMEIRASF15163+4255NW           	LIN	229.525576 +42.745842              	15.298	14.318	 36.20
169	d         	        1	2MASXJ15265942+3558372            	LIN	231.747604 +35.977008              	15.986	15.209	 36.89
170	d         	        1	NG5936                           	H2G	232.503525 +12.989319              	13.422	12.059	 33.71
171	d         	        1	I4553                            	SyG	233.73843317 +23.50322456          	13.966	12.608	 34.61
172	d         	        1	NG5990                           	Sy2	236.56830 +02.41551                	18.886	20.10 	 33.81
174	d         	        1	NG6052                           	IG 	241.3036282657902 +20.5423927612566	13.783	13.299	 34.25
182	d         	        1	NG6240                           	Sy2	253.245254 +02.400986              	14.128	12.518	 35.11
206	d         	        1	NG6789                           	G  	289.171537 +63.973306              	14.166	13.695	 27.75
229	d         	        1	NG7469                           	Sy1	345.815308 +08.873689              	13.085	12.217	 34.22
230	d         	        1	2MASXJ23045651+1933078            	G  	346.235475 +19.552183              	15.263	13.716	 35.19
237	d         	        1	NG7674                           	Sy2	351.9862394813429 +08.7789550773722	13.711	12.801	 35.47
243	d         	        1	NG7753                           	IG 	356.770142 +29.483381              	13.195	11.789	 34.23
244	d         	        1	NG7771                           	GiG	357.853667 +20.111825              	12.846	11.748	 34.00
245	d         	        1	Mr331                            	GiP	357.861381 +20.586173              	14.395	13.073	 34.46
